,number,title,link,repository,repo_name,repo_url,created_at,updated_at,pull_request,filter
0,653,"<a href=""https://github.com/2i2c-org/infrastructure/issues/653"" rel=""noopener noreferrer"" target=""_blank"">Migrate home directories of Pangeo users to the 2i2c Hub</a>",https://github.com/2i2c-org/infrastructure/issues/653,"<a href=""https://github.com/2i2c-org/infrastructure"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/infrastructure</a>",2i2c-org/infrastructure,https://github.com/2i2c-org/infrastructure,2021-09-02T20:44:21Z,2021-10-28T16:30:53Z,False,assigned
1,169,"<a href=""https://github.com/2i2c-org/team-compass/issues/169"" rel=""noopener noreferrer"" target=""_blank"">Play around with FreshDesk UI and understand how it works. Decide if this is a good solution.</a>",https://github.com/2i2c-org/team-compass/issues/169,"<a href=""https://github.com/2i2c-org/team-compass"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/team-compass</a>",2i2c-org/team-compass,https://github.com/2i2c-org/team-compass,2021-07-21T08:24:25Z,2021-10-28T02:52:19Z,False,assigned
2,718,"<a href=""https://github.com/2i2c-org/infrastructure/issues/718"" rel=""noopener noreferrer"" target=""_blank"">Document our Azure cluster deployment setup</a>",https://github.com/2i2c-org/infrastructure/issues/718,"<a href=""https://github.com/2i2c-org/infrastructure"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/infrastructure</a>",2i2c-org/infrastructure,https://github.com/2i2c-org/infrastructure,2021-09-29T03:33:04Z,2021-10-28T02:50:35Z,False,assigned
3,519,"<a href=""https://github.com/2i2c-org/infrastructure/issues/519"" rel=""noopener noreferrer"" target=""_blank"">Cleanup unused applications in auth0</a>",https://github.com/2i2c-org/infrastructure/issues/519,"<a href=""https://github.com/2i2c-org/infrastructure"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/infrastructure</a>",2i2c-org/infrastructure,https://github.com/2i2c-org/infrastructure,2021-07-15T13:42:30Z,2021-10-27T13:36:12Z,False,assigned
4,52,"<a href=""https://github.com/2i2c-org/upstream/issues/52"" rel=""noopener noreferrer"" target=""_blank"">Write a blog post about our `/test-this-pr` infrastructure</a>",https://github.com/2i2c-org/upstream/issues/52,"<a href=""https://github.com/2i2c-org/upstream"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/upstream</a>",2i2c-org/upstream,https://github.com/2i2c-org/upstream,2021-09-29T16:39:36Z,2021-10-27T10:50:22Z,False,assigned
5,455,"<a href=""https://github.com/jupyterhub/team-compass/issues/455"" rel=""noopener noreferrer"" target=""_blank"">Give a talk about the JupyterHub DEI grant at the CZI meeting</a>",https://github.com/jupyterhub/team-compass/issues/455,"<a href=""https://github.com/jupyterhub/team-compass"" rel=""noopener noreferrer"" target=""_blank"">jupyterhub/team-compass</a>",jupyterhub/team-compass,https://github.com/jupyterhub/team-compass,2021-09-28T18:29:59Z,2021-10-26T16:57:50Z,False,assigned
6,51,"<a href=""https://github.com/2i2c-org/upstream/issues/51"" rel=""noopener noreferrer"" target=""_blank"">Give a talk about the JupyterHub DEI grant at the CZI meeting</a>",https://github.com/2i2c-org/upstream/issues/51,"<a href=""https://github.com/2i2c-org/upstream"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/upstream</a>",2i2c-org/upstream,https://github.com/2i2c-org/upstream,2021-09-28T18:30:37Z,2021-09-28T19:21:16Z,False,assigned
7,68,"<a href=""https://github.com/alan-turing-institute/the-turing-way/issues/68"" rel=""noopener noreferrer"" target=""_blank"">Blog post: Pros, cons and best practices of using Jupyter Notebooks</a>",https://github.com/alan-turing-institute/the-turing-way/issues/68,"<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>",alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2018-12-05T15:21:05Z,2020-01-10T11:34:15Z,False,assigned
8,685,"<a href=""https://github.com/alan-turing-institute/the-turing-way/issues/685"" rel=""noopener noreferrer"" target=""_blank"">How to open source chapter</a>",https://github.com/alan-turing-institute/the-turing-way/issues/685,"<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>",alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2019-09-13T15:25:21Z,2019-11-29T14:11:41Z,False,assigned
9,66,"<a href=""https://github.com/alan-turing-institute/the-turing-way/issues/66"" rel=""noopener noreferrer"" target=""_blank"">Capture ""gotchas"" for dependency management</a>",https://github.com/alan-turing-institute/the-turing-way/issues/66,"<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>",alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2018-12-05T14:46:20Z,2019-01-10T11:06:29Z,False,assigned
